filepath,label
../data/dataset_split\train\A\sub-001_segment0000.npy,A
../data/dataset_split\train\A\sub-001_segment0001.npy,A
../data/dataset_split\train\A\sub-001_segment0002.npy,A
../data/dataset_split\train\A\sub-001_segment0003.npy,A
../data/dataset_split\train\A\sub-001_segment0004.npy,A
../data/dataset_split\train\A\sub-001_segment0005.npy,A
../data/dataset_split\train\A\sub-001_segment0006.npy,A
../data/dataset_split\train\A\sub-001_segment0007.npy,A
../data/dataset_split\train\A\sub-001_segment0008.npy,A
../data/dataset_split\train\A\sub-001_segment0009.npy,A
../data/dataset_split\train\A\sub-001_segment0010.npy,A
../data/dataset_split\train\A\sub-001_segment0011.npy,A
../data/dataset_split\train\A\sub-001_segment0012.npy,A
../data/dataset_split\train\A\sub-001_segment0013.npy,A
../data/dataset_split\train\A\sub-001_segment0014.npy,A
../data/dataset_split\train\A\sub-001_segment0015.npy,A
../data/dataset_split\train\A\sub-001_segment0016.npy,A
../data/dataset_split\train\A\sub-001_segment0017.npy,A
../data/dataset_split\train\A\sub-001_segment0018.npy,A
../data/dataset_split\train\A\sub-001_segment0019.npy,A
../data/dataset_split\train\A\sub-001_segment0020.npy,A
../data/dataset_split\train\A\sub-001_segment0021.npy,A
../data/dataset_split\train\A\sub-001_segment0022.npy,A
../data/dataset_split\train\A\sub-001_segment0023.npy,A
../data/dataset_split\train\A\sub-001_segment0024.npy,A
../data/dataset_split\train\A\sub-001_segment0025.npy,A
../data/dataset_split\train\A\sub-001_segment0026.npy,A
../data/dataset_split\train\A\sub-001_segment0027.npy,A
../data/dataset_split\train\A\sub-001_segment0028.npy,A
../data/dataset_split\train\A\sub-001_segment0029.npy,A
../data/dataset_split\train\A\sub-001_segment0030.npy,A
../data/dataset_split\train\A\sub-001_segment0031.npy,A
../data/dataset_split\train\A\sub-001_segment0032.npy,A
../data/dataset_split\train\A\sub-001_segment0033.npy,A
../data/dataset_split\train\A\sub-001_segment0034.npy,A
../data/dataset_split\train\A\sub-001_segment0035.npy,A
../data/dataset_split\train\A\sub-001_segment0036.npy,A
../data/dataset_split\train\A\sub-001_segment0037.npy,A
../data/dataset_split\train\A\sub-001_segment0038.npy,A
../data/dataset_split\train\A\sub-001_segment0039.npy,A
../data/dataset_split\train\A\sub-001_segment0040.npy,A
../data/dataset_split\train\A\sub-001_segment0041.npy,A
../data/dataset_split\train\A\sub-001_segment0042.npy,A
../data/dataset_split\train\A\sub-001_segment0043.npy,A
../data/dataset_split\train\A\sub-001_segment0044.npy,A
../data/dataset_split\train\A\sub-001_segment0045.npy,A
../data/dataset_split\train\A\sub-001_segment0046.npy,A
../data/dataset_split\train\A\sub-001_segment0047.npy,A
../data/dataset_split\train\A\sub-001_segment0048.npy,A
../data/dataset_split\train\A\sub-001_segment0049.npy,A
